peak_times,stride_times,swing_times,swing_ang_range,peak_values,freeze_index_all_steps,leg_vector,swing_time_asymmetry,stride_time_CV_arrhythmicity,swing_time_CV,model_freeze_probas,model_freeze_labels,peak_times_ced
541.8493795,1.48428000000001,0.328103999999939,40.8664431680149,187.895102746417,0.7468075709903,0,0.772204609385467,0.0335828527964742,0.0467870611704689,0,0,601.167143
542.5368355,1.4842799999999,0.328104000000053,42.4622072321677,211.406604183975,1.09460629179812,1,0.772204609385467,0.0335828527964742,0.0467870611704689,0,0,601.854599
543.2633515,1.41397200000006,0.328104000000053,47.5217546625708,182.951666212377,1.52556162670378,0,0.772204609385467,0.0335828527964742,0.0467870611704689,0,0,602.581115
543.9039355,1.36710000000005,0.35154,43.194692676844,191.867928281585,1.28831678584435,1,0.772204609385467,0.0335828527964742,0.0467870611704689,0,0,603.221699
544.7085715,1.44521999999995,0.359352000000058,42.585354699719,217.935603328078,2.16325268766301,0,0.772204609385467,0.0335828527964742,0.0467870611704689,0,0,604.026335
545.3022835,1.39834799999994,0.328104000000053,42.3373628833964,205.969719806493,2.72957037304636,1,0.772204609385467,0.0335828527964742,0.0467870611704689,0.187852875144531,0,604.620047
546.0678595,1.35928799999999,0.359351999999944,41.6071022998243,174.235898824779,2.36348363249639,0,3.8027395589187,0.0368836227765378,0.0459916302598939,0.195426972594273,0,605.385623
546.7240675,1.421784,0.328103999999939,39.5718408584517,187.963158766631,5.18636029699169,1,3.80273955892999,0.0252940473361709,0.045991630259945,0.212870093836612,0,606.041831
547.5130795,1.44522000000006,0.335915999999997,35.9028869072445,174.067206260933,3.44284931344872,0,4.54623740767648,0.0273395783084356,0.0393851346423996,0.254357597819779,0,606.830843
548.1536635,1.42959600000006,0.367164000000002,37.8180779407664,169.253898022554,3.72363723505684,1,3.00774552372829,0.0232514309574275,0.052299413697593,0.23084950079815,0,607.471427
549.0442315,1.53115200000002,0.335915999999997,36.5531540446359,162.187809063528,7.09351283406049,0,0.760459938516561,0.0354696175959292,0.0527368002651144,0.251223909624713,0,608.361995
549.7082515,1.55458799999997,0.359351999999944,35.6786616798497,163.338839560877,0.5676859097165,1,2.24728558520095,0.0551004531716618,0.0490796323301571,0.269776454722144,0,609.026015
550.5206995,1.47646799999995,0.343728000000056,35.2934036149662,163.536490752865,1.05846926871303,0,3.77403279826895,0.0400227349230547,0.0360589706649592,0.267068571896476,0,609.838463
551.1534715,1.44522000000006,0.328104000000053,34.9106034401485,180.563954774788,0.23038905854831,1,3.77403279827973,0.0377149688543393,0.0360589706648643,0.270200083884745,0,610.471235
551.8643635,1.34366399999999,0.320291999999995,39.981321055965,155.315041554825,1.1740543236101,0,5.32445145187642,0.0563008542880691,0.0472979230980107,0.218122226036652,0,611.182127
552.5361955,1.38272399999994,0.320291999999995,37.511996435206,190.010132256758,0.198064537492164,1,0.778214044199935,0.0630120378925591,0.0486652364370598,0.24808418467511,0,611.853959
553.2236515,1.35928799999999,0.531215999999972,33.8021469786199,189.55362074984,0.692779644813122,0,17.062551703079,0.0558252809118378,0.175849340196687,0.29057049062858,0,612.541415
553.8564235,1.32022800000004,0.320291999999995,43.3652189231647,215.903944012632,0.161347163253824,1,21.0156355787373,0.0486500099906362,0.152068865905111,0.18275552924069,0,613.174187
554.4813835,1.25773200000003,0.35154,41.6148987406585,206.086015110291,0.705690002088727,0,21.6671036808521,0.0433089292280892,0.148915848527882,0.196765991000284,0,613.799147
555.0985315,1.24210800000003,0.546839999999975,35.4457436932898,208.442720533855,0.20825460105848,1,1.30720815673552,0.0474976814655695,0.307160303676038,0.263807777170604,0,614.416295
555.7234915,1.24210800000003,0.320291999999995,40.5399962072766,180.481763377032,0.985967321620916,0,1.30720815673552,0.0515179699111188,0.307160303676038,0.208929569135112,0,615.041255
556.4421955,1.34366399999999,0.296855999999934,38.8212071503537,205.070117924485,0.236294547141108,1,3.30062964682251,0.0451509254737945,0.319847425601107,0.226429714005473,0,615.759959
557.0515315,1.32803999999999,0.343728000000056,40.5196952204635,184.741632733273,0.662615883852862,0,13.6411855489745,0.0383577164599598,0.201934875981027,0.206654781373283,0,616.369295
557.6218075,1.17961199999991,0.312479999999937,40.6253543691767,206.012166181725,0.338601074716975,1,12.967782330835,0.0509207757310867,0.205699353607978,0.207481408951842,0,616.939571
558.2702035,1.21867199999997,0.28904399999999,35.2564689432,176.133245071691,0.604308203654554,0,19.3191229030683,0.0557808993829337,0.224859039360413,0.270012256750707,0,617.587967
558.8795395,1.25773200000003,0.335915999999997,39.1437515363687,187.043380042966,0.45944932096333,1,0.823049913669693,0.0553508805539038,0.074376571778936,0.225060577188736,0,618.197303
559.6216795,1.35147600000005,0.304667999999992,31.6686356330621,189.738079831727,0.48569930189721,0,0.829880281451573,0.0598294852102214,0.0762670538990772,0.31889457547173,0,618.939443
560.1607075,1.28116799999998,0.296856000000048,32.6505093268136,174.65612241397,0.294730151968007,1,0.829880281463607,0.0487260537357134,0.0762670538989898,0.299774515798022,0,619.478471
560.8012915,1.17961199999991,0.328103999999939,32.802661244543,166.442785340887,0.757935304579147,0,2.51059211311427,0.0574894449326202,0.0631884868338588,0.299673085613291,0,620.119055
561.4262515,1.26554400000009,0.570275999999922,29.8257513350844,165.079585045172,0.500129885436587,1,26.6267977948022,0.0407441612859332,0.216370964975565,0.335235427653496,0,620.744015
562.1137075,1.3124160000001,0.31248000000005,34.5005226730756,156.59666249194,1.55227399759161,0,24.1162056816879,0.0398651549906135,0.203316404299581,0.274825567144404,0,621.431471
