peak_times,stride_times,swing_times,swing_ang_range,peak_values,freeze_index_all_steps,leg_vector,swing_time_asymmetry,stride_time_CV_arrhythmicity,swing_time_CV,peak_times_ced
128.6597894,1.27335600000001,0.656208000000021,12.5010622103617,29.054935173245,0.0105042371273342,1,4.28915646293342,0.0490600109897191,0.0464989694617032,131.3823268
129.2925614,1.34366400000002,0.632771999999989,8.79000466303949,31.401552764769,0.191536137063714,0,4.28915646293342,0.0490600109897191,0.0464989694617032,132.0150988
129.9253334,1.26554400000001,0.664019999999994,12.7968679709017,35.9957019163198,0.0121679314918096,1,4.28915646293342,0.0490600109897191,0.0464989694617032,132.6478708
130.4877974,1.19523599999999,0.648395999999991,11.7432850436216,45.3553253894514,0.145299364992051,0,4.28915646293342,0.0490600109897191,0.0464989694617032,133.2103348
131.1361934,1.21086,0.726516000000004,13.475427884877,47.3149208239144,0.0123423018529298,1,4.28915646293342,0.0490600109897191,0.0464989694617032,133.8587308
131.6752214,1.18742399999999,0.679643999999996,14.4609046702829,49.8268847079142,0.00757523288239168,0,4.28915646293342,0.0490600109897191,0.0464989694617032,134.3977588
132.3079934,1.17179999999999,0.781200000000013,12.3883739506697,39.4917645483549,0.00875423336856773,1,10.216817455887,0.0547994168018891,0.0587548645095447,135.0305308
133.0657574,1.390536,0.70308,10.9870580593963,37.9098758997179,0.0335355894974708,0,6.69394826751202,0.0651091633419683,0.0607584634261018,135.7882948
133.7375894,1.429596,0.624960000000016,12.4278574642219,39.7219839834724,0.00983676717051328,1,4.87901641694533,0.100417549035964,0.0760240130691803,136.4601268
134.3625494,1.29679200000001,0.710892000000001,10.4967244742451,32.0897753411455,0.0284651829046108,0,1.84848146741194,0.0940226194465543,0.0674142561361926,137.0850868
135.1203134,1.382724,0.687455999999997,12.8586883438046,32.6460534638527,0.0114352753211867,1,1.36557432028895e-12,0.0910544329513741,0.0679931636930632,137.8428508
135.7921454,1.42959599999998,0.687455999999997,10.9509724768049,45.6560501535086,0.0189838984649767,0,0.372439909096951,0.0765689866423378,0.0648598467139179,138.5146828
136.4874134,1.36709999999999,0.70308,11.350876197692,36.4296297694443,0.00494099079435994,1,4.17517946802146,0.0365407158877378,0.0392823488181612,139.2099508
137.1279974,1.33585200000002,0.679643999999996,10.2909218315969,31.6739246676533,0.0116455182335048,0,3.05367238600727,0.0368754750358699,0.042503268170755,139.8505348
137.8623254,1.37491200000002,0.671831999999995,9.95372068410099,38.164085855263,0.0467327616252162,1,0.75472056353842,0.0280434906718273,0.0231023544057424,140.5848628
138.5497814,1.421784,0.781200000000013,9.4042905212215,31.6981284346461,0.03365140339016,0,4.08219945202618,0.0214742900194838,0.0508227898440276,141.2723188
139.3231694,1.46084399999998,0.695267999999999,11.5899292760102,27.3803726625109,0.194902448748209,1,3.70412716803552,0.0371974927830653,0.051242168571709,142.0457068
139.9793774,1.429596,0.749952000000008,9.07171905260131,25.0851397048756,0.0577692446868122,0,6.57170716570258,0.0371974927830685,0.0470745068853855,142.7019148
140.6980814,1.37491200000002,0.593712000000011,9.30943384304721,33.9458639606667,0.087640483591189,1,11.9993958511459,0.036307368760904,0.0759699337396022,143.4206188
141.3699134,1.390536,0.664020000000022,9.61131251694284,32.2645451471074,0.0282172191708687,0,11.2901730201979,0.0249826931115117,0.0821417166705529,144.0924508
142.1276774,1.42959599999998,0.945252000000011,7.88559519628518,24.7660010849471,0.0776408485548396,1,1.76371414860966,0.0226047612210176,0.162925887960553,144.8502148
142.8073214,1.437408,0.664019999999994,7.81627295893826,38.435275711109,0.00809434544525807,0,7.24955020381512,0.0241434419610935,0.157275693843163,145.5298588
143.5104014,1.38272400000002,0.742139999999978,6.27732906572299,17.3671978981253,0.05743039665074,1,9.32574934865711,0.0194423642763411,0.151860470161446,146.2329388
144.2369174,1.42959599999998,0.726516000000004,7.32270822718348,32.4148366151045,0.00313744274106949,0,10.4599770090507,0.0194423642763391,0.142390367615701,146.9594548
144.8853134,1.37491199999999,1.11711599999998,7.11245742038721,28.7615982008766,0.0233447134409243,1,31.1168356310494,0.0194423642763427,0.126737525643724,147.6078508
145.6665134,1.429596,0.734328000000005,8.84785857440044,30.7492085034998,0.00357843869078127,0,27.752032219227,0.0121695699003313,0.127597945719619,148.3890508
146.3695934,1.48427999999998,0.742140000000006,7.76560269610671,26.2512152669451,0.0131800044778782,1,20.2340423684432,0.0231498669910511,0.152035888773371,149.0921308
147.1273574,1.46084400000001,0.749952000000008,10.4545787851469,26.11125806784,0.00634168055948303,0,16.2695592337186,0.027839473566863,0.132928914124915,149.8498948
147.7835654,1.413972,0.695267999999999,9.97403053285588,33.90114738991,0.0319149238128152,1,14.4513273254003,0.0257192225826705,0.143863841718204,150.5061028
148.5100814,1.382724,0.671831999999995,9.0198176359885,36.8528036190393,0.00475016862321974,0,16.9559305180095,0.033257281100854,0.164525584653501,151.2326188
149.1662894,1.382724,0.742140000000006,11.290761745733,41.7438843658737,0.0254702384582714,1,1.08109161042173,0.032027607426509,0.047382368656546,151.8888268
149.8693694,1.35928799999999,0.656207999999992,8.8913849433521,34.3449889453821,0.0136795832087324,0,4.77154730396741,0.0372035828980628,0.0548785284010787,152.5919068
150.5490134,1.38272400000002,0.523403999999999,9.07852569730733,29.6516204137067,0.0170819308145235,1,5.80433696499106,0.0254531884987721,0.124355299824517,153.2715508
151.2364694,1.36710000000002,0.742140000000006,9.79270551371548,27.9800925427927,0.00728650469246302,0,5.42768868544329,0.0108310168365107,0.121267758242628,153.9590068
